word	corrected_gold	system_suggestions	in_1	in_3	in_above_3
ضمان		زمان,مان,بمان,ڕمان,یمان,ومان,چمان,شمان,عمان,کمان	0	0	0
حزیر		گزیر,زیر,وزیر,حزور,"زیر,جزیر,خزیر,زۆر,نزیک,بیر	0	0	0
الشام		detected_correct	0	0	0
عصبی		عربی,عصبە,عەلی,بی,صلی,حزبی,ئابی,علی,نەبی,عبد	0	0	0
علیاء		علیا,ملیار,علیە,علی,ملیان,علیکم,علیهم,علیەو,علیها,ولیام	0	0	0
والذین		detected_correct	0	0	0
ئەوەشیخستۆتەروو	ئەوەشی خستووەتە ڕوو	خستۆتەروو,نەخستۆتەڕوو,ئەوەدەخاتەڕوو,ئەوەستێتەوە,ئەوەشدەخاتەڕوو,ئەوەشکردۆتەوه,ئەوەشخراوەتەڕوو,ئەوەشدەخاتەرو,خستۆتەڕوو,دەوەستێتەوە	0	0	0
بەتۆڕەیەوە	بە تووڕەیییەوە	بەتوڕەییەوە,بەخۆیەوە,بەهۆیەوە,بۆنەیەوە,بەوبۆنەیەوە,بەخۆشییەوە,نەتەوەیەوە,بەخۆشیەوە,بەتووڕەییەوە,بەکۆمەڵەوە	0	0	0
وبەشێکیانیش	و بەشێکیشیان	بەشێکیانی,بەشێکیان,بەشەکانیش,وبەشەکانی,بەشەکانی,بەشێکیش,بەشێکین,بەشێکیشی,بەیانیش,بەڕێزیانی	0	0	0
لەوەکردۆتەوە	لەوە کردووەتەوە	detected_correct	0	0	0
سیانزە	سێزدە	detected_correct	0	0	0
ڕادەگەیەندراوە	ڕاگەیێنراوە	ڕانەگەیەندراوە,ڕانەگەیەنراوە,ڕاگەیەندراوە,ڕانەگەیەندراو,ڕانەگەیەندراوی,ڕانەگەیەندراوه,ڕانەگەیاندراوە,ڕانەگەیەندراوە،,ڕانەگەیەندراون,ڕاگەیەنراوە	0	0	0
هەموارکردۆتەوە	هەموار کردووەتەوە	هەموارکردنەوە,هەموارکردەوە,هەموارکردنەوەی,هەمواربکرێتەوە,هەموارکردنەکە,هەموارکراوەتەوە,هەموارکرایەوە,کەمکردۆتەوە,هەموارکردنە,لەوەکردۆتەوە	0	0	0
بەڕِێوەبەرێتی	بەڕێوەبەرایەتی	بەڕێوەبەرێتی,بەرِێوەبەرێتی,بەڕێوەبەرێکی,بەڕێوەبەرێت,بەرێوەبەرێتی,بەڕێوبەرێتی,بەڕێوەبەراتی,بەڕێوەبەرێتیی,بەرِێوەبەرێت,بەڕیوەبەرێتی	0	0	0
قبوڵکردوەو	قبووڵ کردووە و	قبوڵکردووەو,قبوڵکردوە,قبوڵکردووە,قبوڵکراوە,قبوڵکردو,قبوڵکردنە,قبوڵکردنەوە,قبوڵکردن,قبوڵکرد,قبوڵکردنی	0	0	0
کەوتۆتەخۆ	کەوتووەتە خۆ	کەوتۆتە,کەوتۆتەوە,کەوتۆتەوه,کەوتنەخۆ,کەوتەخۆ,کەوتۆته,کەوتیتە,کەوتوتە,کەوتۆتەوە،,کەتۆتە	0	0	0
گۆرانکارێکە	گۆڕانکارییەکە	گۆرانکارییە,گۆرانکاریە,گۆڕانکارییە,گۆرانکاری,گۆڕانکاریە,گۆرانکاریەکی,گۆرانکارییەک,گۆرانکاریەک,گۆرانکاریانە,گۆرانکاریان	0	0	0
نەبۆتەوە	نەبووەتەوە	detected_correct	0	0	0
بەرێوەدەچێت	بە ڕێوە دەچێت	detected_correct	0	0	0
نوسیویسیەتی	نووسیویەتی	نوسیوییەتی,نوسیویەتی,نوسیوویەتی,نووسیوییەتی,نووسیویەتی,نووسیوویەتی,نوسیویەتی:,نوسیویەتی،,ناسیویەتی,نوسیویەتی"	0	0	1
هۆلیۆد	هۆڵیوود	detected_correct	0	0	0
ڕوبەرویان	ڕووبەڕوویان	detected_correct	0	0	0
دورخراوەتەوەو	دوور خراوەتەوە و	دورخراوەتەوە,دوورخراوەتەوە,دورخراونەتەوە,دوورخراونەتەوە,دراوەتەوەو,دۆزراوەتەوەو,دۆزراوەتەوە,نووسراوەتەوە,دراوەتەوە,گوازراوەتەوە	0	0	0
دەستبەکاربکات	دەست بە کار بکات	دەستبەکاربێت,دەستبەکاربوون,دەستەبەربکات,دەستبەکاربونی,دەستبەکاربوو,دەستبەکاربن,دەستبەکاربووە,دەستبەکارەکانی,دەستبەکاربین,دەستبەکاربووم	0	0	0
غم	گرام	detected_correct	0	0	0
نەتەنیاهو	ناتانیاهۆ	detected_correct	0	0	0
هاولاتیانەی	هاووڵاتییانەی	detected_correct	0	0	0
بەدەسبهێنێت	بە دەست بهێنێت	بەدەستبهێنێت,بەدەسبێنێت,بەدەستبێنێت,بەدیبهێنێت,بەدەستبهێنێ,بەدەستدێنێت,بەدەستبهێنرێت,بەدەسـتبهێنێت,بەدەستبهێنیت,وەدەستبهێنێت	0	0	0
خەجتدەکاتەوە	جەخت دەکاتەوە	ڕەتدەکاتەوە,جەختدەکاتەوە,دەستدەکاتەوە,کەمدەکاتەوە,ڕەتیدەکاتەوە,ڕەتدەکاتەوه,بەرزدەکاتەوە,لەوەدەکاتەوە,ڕەتدەکاتەوەو,کورتدەکاتەوە	0	0	0
ڕاگەیەنراوێکەدا	ڕاگەیێنراوێکدا	ڕاگەیەنراوێکدا,ڕاگەیەنراوەکەدا,ڕاگەیەنراوێکیدا,ڕاگەیەندراوێکدا,ڕاگەیەنراوەدا,ڕاگەیەندراوەکەدا,ڕاگەیەندراوێکیدا,ڕاگەیەنراوێکی,ڕاگەیەنراوەکە,ڕاگەیەنراوێک	0	0	0
کلچدائۆغلو	کڵچدارئۆغڵو	داودئۆغلو,ئۆغلو,داودئۆغڵو,داودئۆغلۆ,کەنداو,ئۆغڵو,کلدان,کلدانی,لەدایکبوو,لەداهاتوو	0	0	0
کۆبویینەوەو	کۆ بووینەوە و	کۆبووینەوەو,کۆبوینەوەو,کۆبوونەوەو,کۆبووینەوە,کۆبونەوەو,کۆبوینەوە,کۆبووینەوەو[,کۆببینەوەو,کۆبویەوەو,کۆبوویەوەو	0	0	0
گۆرانێکەیدا	گۆرانییەکەیدا	گۆرانیدا,گۆرانێکی,ڕۆمانەکەیدا,گۆرانییەدا,گۆرانییەکدا,گۆڤارەکەیدا,گۆرانییەکیدا,سەردانەکەیدا,گۆڕانێکی,ڕۆمانەکەدا	0	0	0
ناساییە	نایاسایییە	یاساییە,ئاساییە,ناسرییە,ناسییە,ناسایی,یاسایی,ئاسایی,یاسایە,ڕاستییە,ئاسایییە	0	0	0
نەکردبۆوە	نەکردبووەوە	detected_correct	0	0	0
بەرزبوەوە	بەرز بووەوە	detected_correct	0	0	0
دەژی	دەژیێت	detected_correct	0	0	0
لەقۆناغی	لە قۆناخی	detected_correct	0	0	0
ڕایدەگەیەنین	ڕای دەگەیێنین	detected_correct	0	0	0
تۆمارکردو	تۆمار کرد و	detected_correct	0	0	0
هەڵیانکوتایە	هەڵیان بکوتایە	detected_correct	0	0	0
لەکارکێشاوەتەوە	لە کار کێشاوەتەوە	detected_correct	0	0	0
پێکهێناو	پێک هێنا و	detected_correct	0	0	0
بەکاربێت	بە کار بێت	detected_correct	0	0	0
بەخێراییەکی	بە خێرایییەکی	detected_correct	0	0	0
کرغیزستان	قیرغیزستان	قرغیزستان,قیرغیزستان,کریستان,قرقیزستان,قەرغیزستان,کریستیان,کریستین,کریستن,کریستاڵ,کریستال	0	1	1
بوکەخان	بووکە خان	بووکەخان,بچوکەکان,بنکەکان,باوکەکان,بووەکان,بنکەیان,بوەکان,کاکەخان,سوکەکان,بنکەمان	0	0	0
بەدووربگرە	بە دوور بگرە	بەدووربگرن,بەدووبارە,بەدووربگرێت,بەدوربگرن,بەدووربگرین,بەدوورگرت,لەدووبارە,بەدوورە,بەدووربن,بەدووربێت	0	0	0
جێبەجێکردوە	جێبەجێ کردووە	detected_correct	0	0	0
دوورخراونەتەوەو	دوور خراونەتەوە و	دوورخراونەتەوە,دوورخراوەتەوە,دورخراونەتەوە,دوورخراونەتەوه,دورخراوەتەوە,دوورخرانەوە,نووسراونەتەوە,دوورخرانەوەی,دوورخستووەتەوە,ڕوونکراونەتەوە	0	0	0
هەڵسان	هەستان	detected_correct	0	0	0
سوریاوەو	سووریاوە و	سوریاوە,سوریاوە،,سوریاوەو[,سوریایەو,سوریاو,سوریایە,سووریاوە,سەرچاوەو,سوریاوه,سوتاوەو	0	0	0
داخستوەو	داخستووە و	detected_correct	0	0	0
ڕایشیگەیاندووە	ڕاشی گەیاندووە	detected_correct	0	0	0
لێبکرێتەوەو	لێ بکرێتەوە و	detected_correct	0	0	0
ئەرزڕوم	ئەرزیڕۆم	ئەرزڕۆم,ئەرزەڕۆم,بەرزو,ئەزانم,ئەرزی,سەرزەوی,ئەزمون,ئەوم,هەرزوو,بەرزەوە	0	0	0
بەدەستبهێنم	بە دەست بهێنم	detected_correct	0	0	0
بەکۆتابێت	بە کۆتا بێت	بەکۆتاهات,نەکرابێت,بەکاربێت,بەکۆتا,بەکۆتایی,وەستابێت,بەستبێت,بەکۆتاهات،,بەئاگابێت,بەرپابێت	0	0	0
ڕەمەکییانە	هەڕەمەکییانە	سەرەکییانە,دەرەکییانە,ڕەمەکییە,سەرەکییان,ڕەمەزانە,گەرەکیانە,مەدەنییانە,بەزەیییانە,سەرەکییانەی,سەرەکیانە	0	0	0
کۆنتڕڵکردنەوەی	کۆنترۆڵکردنەوەی	کۆنتڕۆڵکردنەوەی,کۆنترۆڵکردنەوەی,کۆنتڕۆلکردنەوەی,کۆکردنەوەی,کۆنتڕۆڵکردنی,کاندیدکردنەوەی,کورتکردنەوەی,بەتاڵکردنەوەی,شۆڕکردنەوەی,کاڵکردنەوەی	0	1	1
لەرابردووشدا	لە ڕابردووشدا	detected_correct	0	0	0
بەجددیی	بە جددی	detected_correct	0	0	0
بەرلەوادەی	بەر لە وادەی	detected_correct	0	0	0
پڕِۆژەکە	پرۆژەکە	پڕۆژەکە,پڕۆژەیە,پڕۆژەکەی,پڕۆژەکه,پڕۆژەکەش,پرۆژەکە,ڕۆژەکە,پرِۆژەکه,پڕۆژەکە،,پڕۆسەکە	0	0	1
پلەلەکانی	پلەکانی	پەلەکانی,پلەکانی,پلانەکانی,پۆلەکانی,پەڕەکانی,هەلەکانی,گەلەکانی,لەپلەکانی,کلیلەکانی,پەلەمانی	0	1	1
تەلەفیزیۆنەوە	تەلەڤزیۆنەوە	detected_correct	0	0	0
دەڕبری	دەربڕی	detected_correct	0	0	0
ڕەتیانکردەوەو	ڕەتیان کردەوە و	ڕەتیانکردەوە,ڕەتیانکردەوه,ڕەتیکردەوە,ڕەتیکردەوە،,ڕەتکردەوەو,جەختیانکردەوە,ڕەتیشیکردەوە,ڕەتیانکردۆتەوە,ڕایانکردووەو,ڕەتیشیکردەوە،	0	0	0
ڕەمەکیی	هەڕەمەکیی	detected_correct	0	0	0
شەهیدبوە	شەهید بووە	شەهیدبوو,شەهیدەوە,شەهیدبووە,شەهیدبون,شەهیدبو,شەهیدە,شەهیدبوون,شەهیدانە,شەهیدو,شەهیدبونی	0	0	0
ڤیدێو	ڤیدیۆ	ڤیدیو,دیدو,ڤیدیۆ,دێو,ڤیدۆ,ڤیدا,دیدێک,ڤیدۆی,عیدو,دیدێ	0	1	1
