word	corrected_gold	system_suggestions	in_1	in_3	in_above_3
ضمان		زمان,مان,بمان,ڕمان,یمان,ومان,چمان,شمان,عمان,کمان	0	0	0
حزیر		گزیر,زیر,وزیر,حزور,"زیر,جزیر,خزیر,زۆر,نزیک,بیر	0	0	0
الشام		detected_correct	0	0	0
عصبی		عربی,عصبە,عەلی,بی,صلی,حزبی,ئابی,علی,نەبی,عبد	0	0	0
علیاء		علیا,ملیار,علیە,علی,ملیان,علیکم,علیهم,علیەو,علیها,ولیام	0	0	0
والذین		detected_correct	0	0	0
سیانزە	سێزدە	detected_correct	0	0	0
ڕادەگەیەندراوە	ڕاگەیێنراوە	ڕانەگەیەندراوە,ڕانەگەیەنراوە,ڕاگەیەندراوە,ڕانەگەیەندراو,ڕانەگەیەندراوی,ڕانەگەیەندراوه,ڕانەگەیاندراوە,ڕانەگەیەندراوە،,ڕانەگەیەندراون,ڕاگەیەنراوە	0	0	0
بەڕِێوەبەرێتی	بەڕێوەبەرایەتی	بەڕێوەبەرێتی,بەرِێوەبەرێتی,بەڕێوەبەرێکی,بەڕێوەبەرێت,بەرێوەبەرێتی,بەڕێوبەرێتی,بەڕێوەبەراتی,بەڕێوەبەرێتیی,بەرِێوەبەرێت,بەڕیوەبەرێتی	0	0	0
گۆرانکارێکە	گۆڕانکارییەکە	گۆرانکارییە,گۆرانکاریە,گۆڕانکارییە,گۆرانکاری,گۆڕانکاریە,گۆرانکاریەکی,گۆرانکارییەک,گۆرانکاریەک,گۆرانکاریانە,گۆرانکاریان	0	0	0
نەبۆتەوە	نەبووەتەوە	detected_correct	0	0	0
نوسیویسیەتی	نووسیویەتی	نوسیوییەتی,نوسیویەتی,نوسیوویەتی,نووسیوییەتی,نووسیویەتی,نووسیوویەتی,نوسیویەتی:,نوسیویەتی،,ناسیویەتی,نوسیویەتی"	0	0	1
هۆلیۆد	هۆڵیوود	detected_correct	0	0	0
ڕوبەرویان	ڕووبەڕوویان	detected_correct	0	0	0
غم	گرام	detected_correct	0	0	0
نەتەنیاهو	ناتانیاهۆ	detected_correct	0	0	0
هاولاتیانەی	هاووڵاتییانەی	detected_correct	0	0	0
ڕاگەیەنراوێکەدا	ڕاگەیێنراوێکدا	ڕاگەیەنراوێکدا,ڕاگەیەنراوەکەدا,ڕاگەیەنراوێکیدا,ڕاگەیەندراوێکدا,ڕاگەیەنراوەدا,ڕاگەیەندراوەکەدا,ڕاگەیەندراوێکیدا,ڕاگەیەنراوێکی,ڕاگەیەنراوەکە,ڕاگەیەنراوێک	0	0	0
کلچدائۆغلو	کڵچدارئۆغڵو	داودئۆغلو,ئۆغلو,داودئۆغڵو,داودئۆغلۆ,کەنداو,ئۆغڵو,کلدان,کلدانی,لەدایکبوو,لەداهاتوو	0	0	0
گۆرانێکەیدا	گۆرانییەکەیدا	گۆرانیدا,گۆرانێکی,ڕۆمانەکەیدا,گۆرانییەدا,گۆرانییەکدا,گۆڤارەکەیدا,گۆرانییەکیدا,سەردانەکەیدا,گۆڕانێکی,ڕۆمانەکەدا	0	0	0
ناساییە	نایاسایییە	یاساییە,ئاساییە,ناسرییە,ناسییە,ناسایی,یاسایی,ئاسایی,یاسایە,ڕاستییە,ئاسایییە	0	0	0
نەکردبۆوە	نەکردبووەوە	detected_correct	0	0	0
دەژی	دەژیێت	detected_correct	0	0	0
کرغیزستان	قیرغیزستان	قرغیزستان,قیرغیزستان,کریستان,قرقیزستان,قەرغیزستان,کریستیان,کریستین,کریستن,کریستاڵ,کریستال	0	1	1
هەڵسان	هەستان	detected_correct	0	0	0
ئەرزڕوم	ئەرزیڕۆم	ئەرزڕۆم,ئەرزەڕۆم,بەرزو,ئەزانم,ئەرزی,سەرزەوی,ئەزمون,ئەوم,هەرزوو,بەرزەوە	0	0	0
ڕەمەکییانە	هەڕەمەکییانە	سەرەکییانە,دەرەکییانە,ڕەمەکییە,سەرەکییان,ڕەمەزانە,گەرەکیانە,مەدەنییانە,بەزەیییانە,سەرەکییانەی,سەرەکیانە	0	0	0
کۆنتڕڵکردنەوەی	کۆنترۆڵکردنەوەی	کۆنتڕۆڵکردنەوەی,کۆنترۆڵکردنەوەی,کۆنتڕۆلکردنەوەی,کۆکردنەوەی,کۆنتڕۆڵکردنی,کاندیدکردنەوەی,کورتکردنەوەی,بەتاڵکردنەوەی,شۆڕکردنەوەی,کاڵکردنەوەی	0	1	1
پڕِۆژەکە	پرۆژەکە	پڕۆژەکە,پڕۆژەیە,پڕۆژەکەی,پڕۆژەکه,پڕۆژەکەش,پرۆژەکە,ڕۆژەکە,پرِۆژەکه,پڕۆژەکە،,پڕۆسەکە	0	0	1
پلەلەکانی	پلەکانی	پەلەکانی,پلەکانی,پلانەکانی,پۆلەکانی,پەڕەکانی,هەلەکانی,گەلەکانی,لەپلەکانی,کلیلەکانی,پەلەمانی	0	1	1
تەلەفیزیۆنەوە	تەلەڤزیۆنەوە	detected_correct	0	0	0
دەڕبری	دەربڕی	detected_correct	0	0	0
ڕەمەکیی	هەڕەمەکیی	detected_correct	0	0	0
ڤیدێو	ڤیدیۆ	ڤیدیو,دیدو,ڤیدیۆ,دێو,ڤیدۆ,ڤیدا,دیدێک,ڤیدۆی,عیدو,دیدێ	0	1	1
گەشتیەوان	کەشتیوان	گەشتیاران,گشتیەکان,گەشتەکان,گەشتیان,کەشتیەکان,کەشتیوان,گەشتەمان,گەشتەیان,گشتییەکان,پشتیوان	0	0	1
لەومەبەر	لەمەوبەر	لەمەبەر,لەوەبەر,لەمەوبەر,لەوەوبەر,لەوبەر,لەمبەر,دەورەبەر,لەبەر,دەستەبەر,لەوەتەی	0	1	1
ئالوڤێرا	ئەلۆڤێرا	ئۆلیڤێرا,ئاودێری,ئاودێر,ئاهورا,ئالوگۆری,الوزرا,ئالوگۆر,ئالبێرت,ئاڵووێری,ئۆلیڤێر	0	0	0
ئایدۆلۆجیا	ئایدیۆلۆژیا	detected_correct	0	0	0
بینایەکەدا	بیناکەدا	بینایەکدا,بیناکەدا,بینایەدا,بینایەکە,دیدارەکەدا,بینایەکی,بەرنامەکەدا,نامەکەدا,بەلایەکدا,چینایەتیدا	0	1	1
پرانسیبی	پرەنسیپی	پرەنسیبی,پرنسیبی,پرانسیپی,پرنسیپی,پرەنسیپی,پرینسیپی,پرانسیپە,پرانسیپ,پرەنسیبە,پرەنسیب	0	0	1
دوریەوە	دوورییەوە	دوایەوە,دورەوە,دووریەوە,دوریشەوە,سوریەوە,دەرەوە,کوردەوە,دایەوە,سوریاوە,دوورەوە	0	0	0
ڕوناکیەی	ڕووناکییەی	ڕوناکیی,ڕوناکیە,ڕوناکیەکی,ڕوناکیەک,ڕوناکی,ڕووناکیی,ڕووناکیشی,ڕووناکیە,ڕوناکبیری,ڕووناکیەى	0	0	0
ژەنرال	ژەنەراڵ	detected_correct	0	0	0
عەڕەشەوە	عەرشەوە	هەڕەشەوە,هەڕەشەو,هەڕەشەیە,ڕەشەوە,عەرەبەوە,بەوەشەوە,ئەوەشەوە,ئەمەشەوە,هەڕەشەو[,بەمەشەوە	0	0	0
قامیسلۆ	قامشلۆ	قامیشلۆ,قامیشلو,قامیشلی,قامشلۆ,قامیشلۆی,قامیشلۆ،,قامیشلۆش,کامیل,قابیلی,قایل	0	0	1
کۆبونەوەی‌دا	کۆبوونەوەیدا	کۆبونەوەیەدا,کۆبونەوەیدا,کۆبوونەوەیەدا,کۆبونەوەکەدا,کۆبونەوەیەکدا,کۆبوونەوەیدا,کۆبونەوەدا,کۆبونەوەیەدا،,کۆبونەوەیاندا,کۆبونەوەیەشدا	0	0	1
ملیدانەی	موەلیدانەی	مەیدانەی,میانەی,مەیدانی,ئیدانەی,ماددانەی,مەیدانە,مەیدانیی,ململانەی,لیدانی,ملدانی	0	0	0
میسڕیەی	میسرییەی	میسڕی,میسریی,میسریە,میسریشی,میوەیەی,پیسییەی,میسییە,مەسەلەی,مایەی,میانەی	0	0	0
وونبونیشی	ونبوونیشی	ڕوونیشی,بوونیشی,ونبونی,قوربانیشی,بونیشی,وونبوونی,چوونیشی,توندوتیژی,قوربانیی,گووتیشی	0	0	0
یەکشەم	یەکشەممە	detected_correct	0	0	0
ئاڵوەدە	ئالوودە	ئاڵوودە,ئاڵودە,ئاسوودە,ئاوەکە,ئاسودە,ئاوەوە,ئالودە,ئالوودە,ئاڵوودەی,ئاڵودەی	0	0	1
ئەشڵێ	دەشڵێت	ئەڵێ,ئەشێ,ئەشکێ,ئەیڵێ,ئەڵڵا,بەڵێ,ئەبێ,دەشڵێت,ئەوێ,ئەرێ	0	0	1
تەنها	تەنیا	detected_correct	0	0	0
بەڕێوبەرایەتی	بەڕێوەبەرایەتی	detected_correct	0	0	0
مادەی	ماددەی	detected_correct	0	0	0
دوێنی	دوێنێ	detected_correct	0	0	0
قائیمقامی	قایمقامی	detected_correct	0	0	0
سندوقەکانی	سندووقەکانی	detected_correct	0	0	0
ئۆتۆمبیل	ئۆتۆمبێل	detected_correct	0	0	0
قۆناغەدا	قۆناخەدا	detected_correct	0	0	0
ئەستەنبوڵ	ئیستەنبوڵ	detected_correct	0	0	0
گەیشتونەتە	گەیشتوونەتە	detected_correct	0	0	0
زانیاریە	زانیارییە	detected_correct	0	0	0
هاتونەتە	هاتوونەتە	detected_correct	0	0	0
خوێندنگا	خوێندنگە	detected_correct	0	0	0
سە	سەر	detected_correct	0	0	0
ئەژماری	هەژماری	detected_correct	0	0	0
دنیای	دونیای	detected_correct	0	0	0
برە	بڕە	detected_correct	0	0	0
بنەبڕکردنی	بنبڕکردنی	detected_correct	0	0	0
موسوڵمانان	موسڵمانان	detected_correct	0	0	0
فەیسبوکی	فەیسبووکی	detected_correct	0	0	0
داواکاریەکەی	داواکارییەکەی	detected_correct	0	0	0
هندی	هیندی	detected_correct	0	0	0
هەمویان	هەموویان	detected_correct	0	0	0
ناڕەزایەتیەکان	ناڕەزایەتییەکان	detected_correct	0	0	0
داندراوە	دانراوە	detected_correct	0	0	0
هاتوچۆکردن	هاتووچۆکردن	detected_correct	0	0	0
تایبەتمەندیەکی	تایبەتمەندییەکی	detected_correct	0	0	0
فرۆکەکانی	فڕۆکەکانی	detected_correct	0	0	0
ئەنجومەنەکەیان	ئەنجوومەنەکەیان	detected_correct	0	0	0
ڕاکێشە	ڕابکێشە	detected_correct	0	0	0
یاساییەکەی	یاسایییەکەی	detected_correct	0	0	0
ببورن	ببوورن	detected_correct	0	0	0
ئەمنیان	ئەمنییان	detected_correct	0	0	0
عیراقیشی	عێراقیشی	عێراقیشی,عیراقیش,عیراقیشە,عیراقیی,عیراقیەی,عیراقیکی,عێراقیش,عیراقی,عیراقیە,عێراقیی	1	1	1
بنێرێ	بنێرێت	detected_correct	0	0	0
ڕازیە	ڕازییە	detected_correct	0	0	0
فۆڕمانە	فۆرمانە	detected_correct	0	0	0
لوسی	لووسی	detected_correct	0	0	0
ئەنجومەنیش	ئەنجوومەنیش	detected_correct	0	0	0
بڕیاڕیاندا	بڕیاریاندا	بڕیاریاندا,بڕیارماندا,بڕیارداندا,بریاریاندا,بەیانیاندا,بڕیارەیاندا,بڕیاریدا,بڕیاریان,بڕیارەماندا,بڕیاریانداوە	1	1	1
سونەکان	سوننەکان	detected_correct	0	0	0
کونسڵی	کونسوڵی	detected_correct	0	0	0
