word	corrected_gold	system_suggestions	in_1	in_3	in_above_3
ضمان		مان,سمان,ڕمان,خمان,لمان,نمان,گمان,زمان,دمان,یمان	0	0	0
حزیر		گزیر	0	0	0
الشام		دلشام	0	0	0
عصبی		عەیبی	0	0	0
علیاء		عالیا	0	0	0
والذین		والدین	0	0	0
ئەوەشیخستۆتەروو	ئەوەشی خستووەتە ڕوو		0	0	0
بەتۆڕەیەوە	بە تووڕەیییەوە	بەتۆرستەوە	0	0	0
وبەشێکیانیش	و بەشێکیشیان	بەشێکیانیش,و بەشێکیانیش,باوەشێنێکیانیش,بەشوودانێکیانیش,دانیکەشێکیانیش,وەشێنرانێکیانیش	0	0	0
لەوەکردۆتەوە	لەوە کردووەتەوە	تۆقلەکردنتەوە,لەکۆڵکردنتەوە,لۆقەکردنتەوە,لەکۆڵکردنەوەتەوە	0	0	0
سیانزە	سێزدە	detected_correct	0	0	0
ڕادەگەیەندراوە	ڕاگەیێنراوە	ڕادەحەپەسێندراوە	0	0	0
هەموارکردۆتەوە	هەموار کردووەتەوە	وادارکردنەوەتەوە	0	0	0
بەڕِێوەبەرێتی	بەڕێوەبەرایەتی	بەڕێوەبەرێکی,بەڕێوەبەرایەتی,بەڕێوەبەری,بەڕێوەبەر	0	1	1
قبوڵکردوەو	قبووڵ کردووە و	قەبووڵکردن	0	0	0
کەوتۆتەخۆ	کەوتووەتە خۆ	نەخۆشکەوتن	0	0	0
گۆرانکارێکە	گۆڕانکارییەکە	گۆرانیبێژە	0	0	0
نەبۆتەوە	نەبووەتەوە	نۆبەتەوە,نەبشتەوە,نەبۆڕەوە,نەباتەوە,نەبێتەوە,نەبیتەوە,ئەبۆتەوە,ئەبۆتتەوە,نەبوونتەوە,نەتەوەوە	0	0	0
بەرێوەدەچێت	بە ڕێوە دەچێت	بەرێوە دەچێت,بەروەرێندرێێت	0	0	0
نوسیویسیەتی	نووسیویەتی	نووسینەوەیەتی,مێنسیوسیەتی,نووریسیێیەتی,نووسینگەیەتی	0	0	0
هۆلیۆد	هۆڵیوود	هۆلیۆک	0	0	0
ڕوبەرویان	ڕووبەڕوویان	بەرقوڕوویان,سەروبەریان,بەراویان,بوبەریان	0	0	0
دورخراوەتەوەو	دوور خراوەتەوە و	نەتەوەپەرستی	0	0	0
دەستبەکاربکات	دەست بە کار بکات	کاربەدەستت,کاربەدەست	0	0	0
غم	گرام	چغم,بم,شم,سم,ڕم,خم,جم,چم,لم,نم,کم,گم,دم,ێم,یم	0	0	0
نەتەنیاهو	ناتانیاهۆ	نێتانیاهو	0	0	0
هاولاتیانەی	هاووڵاتییانەی	هاوولاتیی,هاوولاتی	0	0	0
بەدەسبهێنێت	بە دەست بهێنێت	بەدەستهێنان	0	0	0
خەجتدەکاتەوە	جەخت دەکاتەوە	داتەکاندنتەوە	0	0	0
ڕاگەیەنراوێکەدا	ڕاگەیێنراوێکدا		0	0	0
کلچدائۆغلو	کڵچدارئۆغڵو	کلیچدارئۆغلو	0	0	0
کۆبویینەوەو	کۆ بووینەوە و	کۆبوونەوە	0	0	0
گۆرانێکەیدا	گۆرانییەکەیدا	گۆرانێکیدا,گۆرانەکەیدا,گۆرانێ کەیدا,گراناداکەیدا	0	0	0
ناساییە	نایاسایییە	ناسیایە,ناسییە,شناسایی,نائاسایی	0	0	0
نەکردبۆوە	نەکردبووەوە	وێنەکردنە	0	0	0
بەرزبوەوە	بەرز بووەوە	بەربزوەوە,بەرز بوەوە,بەرزەکەوە,باوەرزووەوە,بەربوونەوە,بوبەرەوە	0	0	0
دەژی	دەژیێت	دەکی,دژی,دەی,دەپژی,دەڕژی,دەمژی,دەگژی,دەبی,تەژی,دەشی,دەسی,دەری,دەڕی,دەڵی,دەقی	0	0	0
لەقۆناغی	لە قۆناخی	لە قۆناغی,قۆناغی	0	0	0
ڕایدەگەیەنین	ڕای دەگەیێنین	ڕاگەیاندنین	0	0	0
تۆمارکردو	تۆمار کرد و	تۆمارکردن,تیمارکردن	0	0	0
هەڵیانکوتایە	هەڵیان بکوتایە	هەڵیانکوتای,هەڵیانکوشتایە,هەڵیانکوتاایە,هەڵیانکوتاویە,هەڵیانکوتایت,هەڵیانکوتاین,هەڵیانکوتاوە,هەڵیانکوتای ە,هەڵیانکوتا یە,هەڵیانک وتایە,هەڵیان کوتایە,هەڵکوتاندنە	0	0	0
لەکارکێشاوەتەوە	لە کار کێشاوەتەوە	نەخشەکێشانەوەتەوە	0	0	0
پێکهێناو	پێک هێنا و	پێکهێنا,پێکهێناون,پێکهێناوم,پێکهێناوە,پێکهێناوی,پێکهێنات,پێکهێنان,پێکهێنام,پێکهێنای,پێکهێنا و,ناوهێنان	0	0	0
بەکاربێت	بە کار بێت	بەکار بێت,بەکارت	0	0	0
بەخێراییەکی	بە خێرایییەکی	بەخێرا ییەکی,بەخێرایی,بەرزایییەکی,بەرابەرییەکی	0	0	0
کرغیزستان	قیرغیزستان	قرغیزستان,کرایستان	0	0	0
بوکەخان	بووکە خان	کەبابخانە	0	0	0
بەدووربگرە	بە دوور بگرە	بگرەوبەردە	0	0	0
جێبەجێکردوە	جێبەجێ کردووە	جێبەجێکردنە,جێبەجێکردن	0	0	0
دوورخراونەتەوەو	دوور خراونەتەوە و	نەتەوەپەرستی	0	0	0
هەڵسان	هەستان	detected_correct	0	0	0
سوریاوەو	سووریاوە و	سورەیاوو,سووریا	0	0	0
داخستوەو	داخستووە و	داخستووە,داوداخستن	0	0	0
ڕایشیگەیاندووە	ڕاشی گەیاندووە	ڕایشی گەیاندووە,قامیشیگەرمیانە	0	0	0
لێبکرێتەوەو	لێ بکرێتەوە و	لێبکرێتەوە,لێبکرێتەوە و,لێبفەوتێندرێ	0	0	0
ئەرزڕوم	ئەرزیڕۆم	ئەرز ڕوم,ئەرزەڕۆم	0	0	0
بەدەستبهێنم	بە دەست بهێنم	بەدەستهێنانم,بەدەستهێنان	0	0	0
بەکۆتابێت	بە کۆتا بێت	ئەتابەکت	0	0	0
ڕەمەکییانە	هەڕەمەکییانە	ڕەمەکیانە,ڕەمەکییان,ڕەمەکییلانە,ڕەمەکییانت,ڕەمەکییانم,ڕەمەکییانی,ڕەمەکییان ە,ڕەمەکی یانە,ڕەمەزانانە	0	0	0
کۆنتڕڵکردنەوەی	کۆنترۆڵکردنەوەی	لەکۆڵکردنەوەی,تۆڵەکردنەوەی,کۆککردنەوەی	0	0	0
لەرابردووشدا	لە ڕابردووشدا	لەراندنەوەشدا	0	0	0
بەجددیی	بە جددی	بەڵەدیی	0	0	0
بەرلەوادەی	بەر لە وادەی	بەرلە وادەی,بەردەوامی	0	0	0
پڕِۆژەکە	پرۆژەکە	ڕۆژەکە,پرۆژەکە	0	1	0
پلەلەکانی	پلەکانی	لەلەکانی,پەلەکانی,پلەکانی,پلەلە کانی,پلەکانەکانی,پلەکانانی,کەلەکەکانی,پەلەنگەکانی	0	1	1
تەلەفیزیۆنەوە	تەلەڤزیۆنەوە	تەلەڤزیۆنەوە	1	1	0
دەڕبری	دەربڕی	دەربڕی,دەڕ بری,برادەری	1	1	1
ڕەتیانکردەوەو	ڕەتیان کردەوە و	دەستپانکردنەوە	0	0	0
ڕەمەکیی	هەڕەمەکیی	detected_correct	0	0	0
شەهیدبوە	شەهید بووە	شەهینە	0	0	0
ڤیدێو	ڤیدیۆ	دێڤید	0	0	0
کوردیەکەو	کوردییەکە و	کوردەواری	0	0	0
گرەنتییەوەو	گەرەنتییەوە و	فلۆرەنتینۆ	0	0	0
گەشتیەوان	کەشتیوان	گەشت یەوان,مانگەشەوان	0	0	0
لەبودجەو	لە بودجە و	لەبودی	0	0	0
لەپڕۆژەکاندا	لە پرۆژەکاندا	بەڕۆژەکۆندا	0	0	0
لەڕۆژئاواو	لە ڕۆژئاوا و		0	0	0
لەومەبەر	لەمەوبەر	لەمەوبەر,لەبەردەمەر	1	1	1
نوێبکرێتەوەو	نوێ بکرێتەوە و	نوێکردنەوە	0	0	0
هەنێکجار	هەندێک جار	هەنجارار,هەنجار	0	0	0
ئالوڤێرا	ئەلۆڤێرا	ئالبێرا	0	0	0
ئایدۆلۆجیا	ئایدیۆلۆژیا		0	0	0
بینایەکەدا	بیناکەدا	نابیناییدا	0	0	0
بەدەرناکەوێت	بە دەر ناکەوێت	بەدەر ناکەوێت,بە دەرناکەوێت,بەدەستکەوتنت	0	0	0
بەرزتربێت	بەرزتر ببێت	بەرزتر بێت,بەربەسترێێت,سەربەرزت	0	0	0
بەرزرکردوەتەوە	بەرز کردووەتەوە	بەسەرکردنەوەتەوە,بیرکردنەوەتەوە,بەسەرکردنەوەوە	0	0	0
بەیەکێتیە	بە یەکێتییە	یەکێتی	0	0	0
