word	corrected_gold	system_suggestions	in_1	in_3	in_above_3
بارزگانی	بازرگانی 	بازرگانی,بازگانی,بارزانی,بارزانیگ,باراگانی,بار زگانی,باراگانانی,بازرگانانی,بارگنانی,بارانانی	0	0	0
باژیر	باژێر	باژێر,باپیر,باگیر,با ژیر	1	1	1
باستێن	بەستێن	بێستان,سابتێن,ناستێن,بستێن,باتێن,باسێن,بارستێن,باستێرن,بتاسێن,بتستێن,بارتێن,باستێر,ڕاستێن,بڕستێن,ماستێن	0	0	0
باشور	باشوور	بوشار,باشوە,باشوت,باشەر,باشو,باشوگر,باشوار,باشوەر,باشتر,باشون,باشوم,باشوک,باشگر,باشوگ,باشار	0	0	0
باوەشین	باوەشێن	detected_correct	0	0	0
باێەخ	بایەخ	بایەخ	1	1	0
باێەقوش	بایەقوش	بایەقوش,بایقووش	1	1	1
بایەقۆش	بایەقوش	بایەقوش	1	1	0
بردەوام	بەردەوام	بەردەوام,بەردوام,دەوام	1	1	1
برگرتن	بەرگری	بتگرتن,بگرتن,بەرگرتن,بمگرتن,بیگرتن,گرتن	0	0	0
برهەم	بەرهەم	بەرهەم,برمەم	1	1	1
بریار	بڕیار	بیرار,بررای,بریات,بریا,برینار,بریکار,بریاگر,بڕیار,بریان,بریام,برکار,بریاک,بریگر,بریاگ,بایار	0	0	1
بڕیاڕ	بڕیار	بڕیڕا,بڕیار,بڕیان,بڕیاگ	0	1	1
بزوین	بزوێن	detected_correct	0	0	0
بزوینەر	بزوێنەر	بزوێنەر,بزوینە,بزوانەر,نەوینەر	1	1	1
بش	بەش	detected_correct	0	0	0
بلویر	بلوێر	بلویت,بلوێر,بلوی,بلوگیر,بلوین,بلویم,بلوگر,بلوار,بلوەر,بلوور	0	1	1
بنەرەتی	بنەڕەتی	بنەڕەتی,بنەیەتی,نەگبەتی	1	1	1
بوچی	بۆچی	detected_correct	0	0	0
بوک	بووک	detected_correct	0	0	0
بوکەشووشە	بووکەشووشە	بووکەشووشە,بنکەوشە	1	1	1
بون	بۆن	detected_correct	0	0	0
بویە	بۆیە	بوە,بوی,بویلە,بوینە,بویۆە,بوویە,بویت,بوشە,بوچە,بولە,بونە,بوین,بویم,بۆیە,بویۆ	0	0	1
بۆچوۆن	بۆچوون	بۆچوون	1	1	0
بێچو	بێچوو	بێچە,بێچوو,بێوو,بێچی	0	1	1
بیروبوچوون	بیروبۆچوون	بیرچوونن,بیرچوون,بیروونین,بیروونی	0	0	0
بیروەر	بیرەوەر	detected_correct	0	0	0
بیرەور	بیرەوەر	بیروەر,بیرەوە,بیرەر,بیورەر,بیریوی	0	0	0
بیرەوری	بیرەوەری	بیرەوەری,بیوری	1	1	1
بیزار	بێزار	بیزات,بیخار,بێزار,نیزار,بزار,بیزر,بیزا,بیزاگر,بایزار,بیبار,پیزار,بیتار,بیشار,بیرار,ڕیزار	0	1	1
بەپیی	بەپێی	بەیی,چەپیی,بەگیی,بەزیی,بە پیی	0	0	0
بەحەشت	بەهەشت	حەبەشت,بەبەشت,بەمەشت,حەبەشیشت,بەشت	0	0	0
بەختەوری	بەختەوەری	بەختەوەری,بەختەوەر	1	1	1
بەراستی	بەڕاستی	بەرتاسی,بەڕاستی,بەرڕستی,بەرخستی,بەرا ستی,بەرپاراستی,بەربەستی,بەرپاراست,بەربیسترا	0	1	1
بەرجوند	بەرجەوەند	بەرجەوەن	0	0	0
بەرجەوند	بەرجەوەند	بەرجەوەن	0	0	0
بەرجەوەندە	بەرجەوەند	بەرجەوەنە,بەرجەوەندەر,بەرجەوەنچە,بەرجەوەنلە,بەرجەوەندا,بەرجەوەن دە,بەرجەوەن	0	0	0
بەرمووور	بەرموور	وەرمبوور,بەرمبوور,بەرمدوور,بەرفەرموو	0	0	0
